Id,Nombre Municipio,Nombre Departamento,Norte,Este,Latitud,Longitud
ABCC,Bogotá D.C.,Bogotá D.C.,2073161.202,4875055.758,4.66123554,-74.12692226
ABPD,Bogotá D.C.,Bogotá D.C.,2052748.088,4878135.379,4.47656775,-74.09886814
ABPW,La Calera,Cundinamarca,2076270.508,4889675.537,4.68957063,-73.99511464
ACDZ,Agustín Codazzi,Cesar,2666236.52,4995015.415,10.02910344,-73.04550391
AEBS,Neiva,Huila,1884891.709,4745355.188,2.95582331,-75.29176197
AECH,Chaparral,Tolima,1969989.907,4726199.022,3.72492688,-75.46598129
AECT,Cartago,Valle del Cauca,2085383.253,4672392.716,4.76639722,-75.95415477
AEDO,Bogotá D.C.,Bogotá D.C.,2076168.865,4873745.024,4.68843142,-74.13878667
AEFO,Florencia,Caquetá,1733781.223,4715026.255,1.58893221,-75.56213245
AEGU,Bogotá D.C.,Bogotá D.C.,2089551.693,4882770.157,4.80965738,-74.05757654
AEMO,Mompox,Bolívar,2581883.086,4842351.149,9.26296704,-74.43577563
AEMT,Pereira,Risaralda,2090431.301,4695945.53,4.81291108,-75.74212305
AEP1,Planadas,Tolima,1912005.351,4706579.262,3.20017907,-75.64110996
AEPA,Palmira,Valle del Cauca,1949066.758,4624260.921,3.53283568,-76.382448
AESI,Santa Marta,Magdalena,2786257.99,4865623.315,11.11252828,-74.23093532
AGAB,Aracataca,Magdalena,2727911.945,4869935.731,10.58490346,-74.18935
AGCA,Aguachica,Cesar,2476858.129,4934461.826,8.31504785,-73.59541846
AGTU,Tunja,Boyacá,2167950.374,4958624.116,5.51988455,-73.37370225
AJCM,Mariquita,Tolima,2134053.802,4791203.905,5.21041033,-74.8845491
ALBE,San Alberto,Cesar,2415549.084,4957076.652,7.76052003,-73.38943608
ALPA,Riohacha,La Guajira,2831900.9,5008964.649,11.5279852,-72.91775643
ANCH,Dagua,Valle del Cauca,1949480.909,4570009.362,3.53466222,-76.87013926
ANDS,San Andrés,"Archipiélago De San Andrés, Providencia Y Santa C*",2964659.681,4051996.975,12.58634722,-81.70072929
APTO,Apartadó,Antioquia,2430230.08,4599495.502,7.87778836,-76.63238975
AQTA,Arauquita,Arauca,2334551.215,5175901.183,7.0250067,-71.40690628
ARCA,Arauca,Arauca,2341398.893,5247490.134,7.08427728,-70.75853383
ARGL,Argelia,Cauca,1811591.546,4528277.174,2.28846269,-77.2404233
ASVI,Flandes,Tolima,2030335.3,4800718.707,4.27244173,-74.79627381
BA3E,Solano,Caquetá,1640145.624,4751460.113,0.7424775,-75.23407578
BAAP,Villavicencio,Meta,2007954.702,4938530.473,4.07180292,-73.55401277
BACO,Coveñas,Sucre,2598113.555,4704468.44,9.40243829,-75.69192722
BAME,Melgar,Tolima,2026206.688,4826365.684,4.23559724,-74.5650852
BAPA,Puerto Salgar,Cundinamarca,2162282.377,4816442.153,5.46641655,-74.65750874
BASO,Bahía Solano,Chocó,2245434.058,4513712.24,6.20297066,-77.39323084
BECE,Becerril,Cesar,2630108.852,4969378.858,9.70209997,-73.27926163
BEJA,Barrancabermeja,Santander,2338280.136,4903337.629,7.0606373,-73.87559104
BERR,Puerto Berrio,Antioquia,2275646.908,4844114.697,6.49268541,-74.41030916
BNGA,Bucaramanga,Santander,2343081.159,4986341.061,7.10488954,-73.12374236
BOBG,Ocaña,Norte de Santander,2476539.097,4960644.027,8.31244592,-73.35755312
BOGA,Bogotá D.C.,Bogotá D.C.,2070660.719,4880260.538,4.63868309,-74.07994956
BOGT,Bogotá D.C.,Bogotá D.C.,2070814.73,4880150.983,4.64007518,-74.08093965
BOSC,Bosconia,Cesar,2659490.631,4902898.869,9.96689232,-73.8862272
BQLA,Barranquilla,Atlántico,2776344.299,4797999.775,11.01971045,-74.8496399
BUEN,Buenaventura,Valle del Cauca,1988021.475,4554572.977,3.88202451,-77.01041981
BUGT,Buenaventura,Valle del Cauca,1981773.808,4556170.308,3.82568656,-76.99579813
CALI,Cali,Valle del Cauca,1931743.786,4607499.915,3.37578849,-76.5325642
CAN0,Puerto Carreño,Vichada,2244634.136,5611145.158,6.18522693,-67.48204423
CAPI,Yopal,Casanare,2149352.748,5063376.246,5.35142413,-72.42775745
CART,Cartagena,Bolívar,2707376.998,4722665.816,10.39133587,-75.53385183
CASI,Caucasia,Antioquia,2441407.429,4757590.912,7.98884105,-75.2000331
CCCP,Tumaco,Nariño,1760147.603,4362035.169,1.81997921,-78.72878488
CHPR,Chaparral,Tolima,1969344.782,4725247.185,3.7190695,-75.47453231
CIA1,Palmira,Valle del Cauca,1946007.84,4627032.683,3.50528937,-76.35742619
CIOH,Cartagena,Bolívar,2707319.758,4722661.957,10.3908182,-75.53388289
CMBI,Cumbitara,Nariño,1741159.163,4490280.094,1.65198506,-77.57954187
CMNI,Curumaní,Cesar,2574864.793,4941625.464,9.20194693,-73.53159631
CN35,Providencia,"Archipiélago De San Andrés, Providencia Y Santa C*",3051529.469,4091956.878,13.37549589,-81.36291985
CN37,Santa Catalina,Bolívar,2751532.17,4752629.656,10.79257813,-75.26317448
COLH,Colombia,Huila,1948332.837,4809189.084,3.53078885,-74.71843909
COLN,Colón,Putumayo,1689090.629,4557457.23,1.18316945,-76.97624063
CORO,Corozal,Sucre,2589575.234,4748800.404,9.32808875,-75.28785372
CPAS,Calarcá,Quindío,2052675.413,4716607.505,4.47227469,-75.55468335
CUC1,Cúcuta,Norte de Santander,2434541.045,5053675.545,7.93227613,-72.51281326
CUCU,Cúcuta,Norte de Santander,2430807.275,5056420.694,7.89845992,-72.48793925
DAGA,Dagua,Valle del Cauca,1972026.583,4591286.809,3.73907169,-76.67973088
DICA,Barranquilla,Atlántico,2778585.686,4800855.734,11.0401376,-74.82362321
DORA,La Dorada,Caldas,2160894.618,4815795.364,5.45384634,-74.6633129
EBPT,El Bagre,Antioquia,2397294.763,4802435.64,7.59181565,-74.79149026
EBRD,Patía,Cauca,1778409.009,4543715.519,1.9893141,-77.10109065
ESPN,Espinal,Tolima,2017145.173,4790613.831,4.15291142,-74.88703656
FIDE,Riohacha,La Guajira,2801487.153,5013517.54,11.25280597,-72.87610647
FQNE,Fúquene,Cundinamarca,2162181.694,4918634.086,5.46734495,-73.73480849
GARA,Garagoa,Boyacá,2119490.784,4960108.945,5.08133453,-73.36003755
GGUE,Magangué,Bolívar,2579496.669,4806743.291,9.2399375,-74.75986875
GUAP,Guapi,Cauca,1843541.731,4455443.955,2.57448009,-77.89467962
GVRE,San José del Guaviare,Guaviare,1842188.22,5039870.468,2.57165292,-72.64119414
HITU,Ituango,Antioquia,2340030.162,4703104.138,7.06953339,-75.68854416
IBAG,Ibagué,Tolima,2047662.355,4754324.903,4.4280464,-75.21472343
INIR,Inírida,Guainía,1986904.392,5563860.548,3.86621112,-67.92584315
INOB,Obando,Valle del Cauca,2066398.403,4670788.112,4.59474776,-75.96788738
INRI,Balboa,Risaralda,2101087.524,4678783.272,4.90858785,-75.89718293
INSJ,San José,Caldas,2114676.351,4683591.876,5.03160343,-75.85437784
INTO,Toro,Valle del Cauca,2071686.082,4662495.469,4.64221998,-76.04278013
INVE,Santa Marta,Magdalena,2794615.666,4865565.836,11.18812492,-74.23178005
LAB1,Pitalito,Huila,1763327.966,4656134.706,1.85523498,-76.09156994
LBNO,Libano,Tolima,2102043.723,4771424.039,4.92034089,-75.06208506
LEDE,La Cruz,Nariño,1731537.164,4560334.78,1.56646615,-76.95105831
